Country,Year-Month,New_Confirmed,New_Deaths,New_Recovered,Total_Confirmed(new+previous)
Austria,01-01-2022,576959,370,0,1855578
Austria,01-02-2022,824164,706,0,2679742
Austria,01-03-2022,1151306,1056,0,3831048
Austria,01-04-2022,214761,542,0,4045809
Azerbaijan,01-01-2020,0,0,0,0
Azerbaijan,01-02-2020,0,0,0,0
Azerbaijan,01-03-2020,298,5,27,298
Azerbaijan,01-04-2020,1506,19,1299,1804
Azerbaijan,01-05-2020,3690,39,2103,5494
Azerbaijan,01-06-2020,12030,150,6287,17524
Azerbaijan,01-07-2020,14354,235,16167,31878
Azerbaijan,01-08-2020,4557,86,7965,36435
Azerbaijan,01-09-2020,3794,57,4107,40229
Azerbaijan,01-10-2020,15040,139,5589,55269
Azerbaijan,01-11-2020,65907,662,31359,121176
Azerbaijan,01-12-2020,97524,1249,109520,218700
Azerbaijan,01-01-2021,11519,491,38893,230219
Azerbaijan,01-02-2021,4318,88,5453,234537
Azerbaijan,01-03-2021,27176,347,9357,261713
Azerbaijan,01-04-2021,57396,950,51335,319109
Azerbaijan,01-05-2021,14847,396,35105,333956
Azerbaijan,01-06-2021,2091,61,5654,336047
Azerbaijan,01-07-2021,7802,49,2707,343849
Azerbaijan,01-08-2021,81042,613,768,424891
Azerbaijan,01-09-2021,59011,889,0,483902
Azerbaijan,01-10-2021,47468,549,0,531370
Azerbaijan,01-11-2021,56948,782,0,588318
Azerbaijan,01-12-2021,28629,502,0,616947
Azerbaijan,01-01-2022,41523,376,0,658470
Azerbaijan,01-02-2022,127200,683,0,785670
Azerbaijan,01-03-2022,6262,275,0,791932
Azerbaijan,01-04-2022,417,13,0,792349
Bahamas,01-01-2020,0,0,0,0
Bahamas,01-02-2020,0,0,0,0
Bahamas,01-03-2020,14,0,1,14
Bahamas,01-04-2020,67,11,25,81
Bahamas,01-05-2020,21,0,24,102
Bahamas,01-06-2020,2,0,39,104
Bahamas,01-07-2020,470,3,4,574
Bahamas,01-08-2020,1643,36,710,2217
Bahamas,01-09-2020,1906,46,1405,4123
Bahamas,01-10-2020,2591,48,2216,6714
Bahamas,01-11-2020,827,19,1467,7541
Bahamas,01-12-2020,330,7,341,7871
Bahamas,01-01-2021,303,6,541,8174
Bahamas,01-02-2021,345,3,538,8519
Bahamas,01-03-2021,600,9,1288,9119
Bahamas,01-04-2021,1334,11,897,10453
Bahamas,01-05-2021,1343,31,1236,11796
Bahamas,01-06-2021,790,16,814,12586
Bahamas,01-07-2021,2254,41,1062,14840
Bahamas,01-08-2021,3299,67,96,18139
Bahamas,01-09-2021,2845,177,0,20984
Bahamas,01-10-2021,1367,112,0,22351
Bahamas,01-11-2021,488,28,0,22791
Bahamas,01-12-2021,1685,46,0,24476
Bahamas,01-01-2022,8086,29,0,32562
Bahamas,01-02-2022,573,25,0,33135
Bahamas,01-03-2022,148,17,0,33283
Bahamas,01-04-2022,108,1,0,33391
Bahrain,01-01-2020,0,0,0,0
Bahrain,01-02-2020,41,0,0,41
Bahrain,01-03-2020,526,4,295,567
Bahrain,01-04-2020,2473,4,1205,3040
Bahrain,01-05-2020,8358,11,5173,11398
Bahrain,01-06-2020,15360,68,14658,26758
Bahrain,01-07-2020,14224,60,16509,40982
Bahrain,01-08-2020,10990,43,11207,51972
Bahrain,01-09-2020,18892,61,15791,70864
Bahrain,01-10-2020,10781,70,13881,81645
Bahrain,01-11-2020,5311,20,6422,86956
